"Id","Prediction"
0,4385846.20132723
1,4916732.79217116
2,4385846.20132723
3,4886669.42590524
4,4385846.20132723
5,5858252.50879534
6,4385846.20132723
7,4886669.42590524
8,4886669.42590524
9,6859898.95795136
10,7450912.28132713
11,4385846.20132723
12,3324073.01963937
13,5387492.65048325
14,5357429.28421733
15,4355782.83506131
16,6419202.46590519
17,4355782.83506131
18,1761476.6133735
19,3854959.6104833
20,4385846.20132723
21,3354136.38590529
22,5387492.65048325
23,4355782.83506131
24,4886669.42590524
25,5978505.97385903
26,3354136.38590529
27,4355782.83506131
28,3854959.6104833
29,4856606.05963932
30,8392431.99795132
31,3354136.38590529
32,3885022.97674922
33,3854959.6104833
34,4355782.83506131
35,4265592.73626355
36,4385846.20132723
37,3854959.6104833
38,3854959.6104833
39,5207112.45288773
40,4886669.42590524
41,3854959.6104833
42,4916732.79217116
43,3854959.6104833
44,2202173.10541966
45,3854959.6104833
46,4385846.20132723
47,3263946.28710753
48,1200526.65626364
49,4385846.20132723
50,4916732.79217116
51,4916732.79217116
52,4856606.05963932
53,4856606.05963932
54,3854959.6104833
55,5357429.28421733
56,3854959.6104833
57,2202173.10541966
58,3203819.55457568
59,4385846.20132723
60,4385846.20132723
61,5387492.65048325
62,1761476.6133735
63,6859898.95795136
64,4385846.20132723
65,4385846.20132723
66,4355782.83506131
67,4385846.20132723
68,4265592.73626355
69,4385846.20132723
70,4385846.20132723
71,5357429.28421733
72,4385846.20132723
73,4886669.42590524
74,5387492.65048325
75,4385846.20132723
76,4355782.83506131
77,4355782.83506131
78,3854959.6104833
79,1200526.65626364
80,5858252.50879534
81,3885022.97674922
82,5387492.65048325
83,4385846.20132723
84,5387492.65048325
85,3854959.6104833
86,4856606.05963932
87,3885022.97674922
88,5357429.28421733
89,5858252.50879534
90,4856606.05963932
91,4415909.56759315
92,4886669.42590524
93,3854959.6104833
94,4355782.83506131
95,3203819.55457568
96,3764769.51168554
97,3854959.6104833
98,3854959.6104833
99,5858252.50879534
100,4355782.83506131
101,3854959.6104833
102,4856606.05963932
103,4385846.20132723
104,4385846.20132723
105,1200526.65626364
106,5888315.87506126
107,4355782.83506131
108,5888315.87506126
109,3854959.6104833
110,2262299.83795151
111,4265592.73626355
112,4916732.79217116
113,4355782.83506131
114,4415909.56759315
115,5387492.65048325
116,4886669.42590524
117,4385846.20132723
118,4886669.42590524
119,5387492.65048325
120,4385846.20132723
121,5357429.28421733
122,3854959.6104833
123,4355782.83506131
124,4385846.20132723
125,1200526.65626364
126,1761476.6133735
127,4385846.20132723
128,4385846.20132723
129,2202173.10541966
130,4886669.42590524
